,Id,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
76,5969025,Haines Junction,100,CA,1565987606,87,60.75,-137.51,49.95,2.8
77,2063042,Port Hedland,0,AU,1565987607,100,-20.31,118.58,57.2,8.05
78,3105522,Bereda,20,ES,1565987607,77,43.27,-7.54,71.01,4.7
79,2121385,Severo-Kurilsk,6,RU,1565987607,95,50.68,156.12,48.69,12.5
80,2160053,Lithgow,1,AU,1565987608,97,-33.48,150.16,43.0,1.12
81,1488167,Ust-Koksa,100,RU,1565987608,81,50.27,85.62,44.19,4.12
82,3418910,Upernavik,0,GL,1565987608,56,72.79,-56.15,43.11,8.21
83,3385935,Tucurui,99,BR,1565987608,44,-3.77,-49.67,86.49,2.28
84,1703912,Magdalena,20,PH,1565987609,83,14.2,121.43,80.6,2.24
85,1014034,Carnarvon,0,ZA,1565987609,25,-30.97,22.13,61.65,5.59
86,3839307,Rawson,2,AR,1565987609,55,-43.3,-65.11,50.85,5.32
87,5983720,Iqaluit,90,CA,1565987609,87,63.75,-68.52,57.0,8.05
88,2019935,Mnogovershinnyy,100,RU,1565987610,76,53.94,139.92,49.77,8.88
89,5962442,Goderich,0,CA,1565987610,83,43.74,-81.71,79.0,4.0
90,3026644,Souillac,0,FR,1565987610,68,45.6,-0.6,69.8,4.7
91,2082539,Merauke,49,ID,1565987610,86,-8.49,140.4,77.49,19.57
92,1793774,Suozhen,0,CN,1565987610,80,36.95,118.1,70.0,9.4
93,2063056,Port Augusta,58,AU,1565987611,93,-32.49,137.76,46.0,5.48
94,6170031,Tuktoyaktuk,90,CA,1565987611,86,69.44,-133.03,39.2,21.92
95,3652764,Puerto Ayora,20,EC,1565987472,57,-0.74,-90.35,77.0,12.75
96,3366880,Hermanus,74,ZA,1565987611,86,-34.42,19.24,62.01,1.99
97,2037078,Hailar,100,CN,1565987612,95,49.2,119.7,54.27,9.04
98,6355222,Yulara,40,AU,1565987612,22,-25.24,130.99,46.4,4.09
99,2171722,Charters Towers,0,AU,1565987612,92,-20.07,146.27,56.79,5.17
100,2227230,Melong,100,CM,1565987613,97,5.12,9.95,68.85,2.17
101,1282256,Hithadhoo,21,MV,1565987613,74,-0.6,73.08,82.89,7.56
102,1505991,Igarka,100,RU,1565987613,82,67.47,86.57,57.69,10.27
103,3471451,Arraial do Cabo,0,BR,1565987613,64,-22.97,-42.02,69.8,23.04
104,3663503,Manicore,75,BR,1565987614,62,-5.81,-61.3,87.8,13.87
105,2155415,New Norfolk,75,AU,1565987614,87,-42.78,147.06,45.0,3.36
106,1267390,Kavaratti,100,IN,1565987614,79,10.57,72.64,81.81,17.18
107,2126123,Chokurdakh,0,RU,1565987615,49,70.62,147.9,52.47,6.15
108,2123814,Leningradskiy,9,RU,1565987615,87,69.38,178.42,37.53,7.25
109,502265,Mirnyy,100,RU,1565987615,81,56.57,36.46,57.69,3.71
110,5848280,Kapaa,90,US,1565987616,83,22.08,-159.32,84.2,19.46
111,1563281,Tuy Hoa,92,VN,1565987616,79,13.08,109.3,76.05,4.45
112,1634614,Nabire,95,ID,1565987616,99,-3.36,135.5,69.93,2.73
113,2163355,Hobart,75,AU,1565987617,87,-42.88,147.33,45.0,3.36
114,2175403,Bluff,0,AU,1565987617,84,-23.58,149.07,55.71,4.72
115,2017155,Saskylakh,0,RU,1565987617,60,71.97,114.09,48.51,9.06
116,1785018,Zhangzhou,95,CN,1565987617,83,24.51,117.65,82.4,2.24
117,4944903,Nantucket,75,US,1565987617,78,41.28,-70.1,75.0,8.05
118,2630299,Hofn,75,IS,1565987618,54,64.25,-15.21,53.6,18.34
119,6094578,Oshawa,40,CA,1565987618,69,43.92,-78.86,80.01,6.93
120,3856548,La Asuncion,99,AR,1565987618,29,-26.05,-65.39,69.93,3.71
121,1067565,Beloha,0,MG,1565987618,90,-25.17,45.06,59.85,7.02
122,2191562,Dunedin,100,NZ,1565987619,51,-45.87,170.5,45.0,17.0
123,86049,Jalu,10,LY,1565987619,44,29.03,21.55,84.69,16.71
124,3415212,Kopavogur,0,IS,1565987619,54,64.11,-21.91,55.4,21.92
125,3461425,Ilhabela,0,BR,1565987581,75,-23.78,-45.36,67.77,16.17
126,2098329,Daru,83,PG,1565987620,93,-9.07,143.21,74.61,9.35
127,3356832,Henties Bay,0,NA,1565987620,57,-22.12,14.28,69.01,1.01
128,1213855,Sibolga,100,ID,1565987620,70,1.74,98.78,80.73,5.39
129,1024696,Dondo,0,MZ,1565987620,82,-19.62,34.74,68.0,3.36
130,3728097,Les Cayes,21,HT,1565987621,77,18.19,-73.75,84.33,15.66
131,2071860,Esperance,90,AU,1565987621,100,-33.86,121.89,46.4,28.86
132,2654970,Brae,23,GB,1565987621,93,60.4,-1.35,57.2,19.46
133,2640377,Penzance,90,GB,1565987621,100,50.12,-5.53,64.0,19.46
134,5808079,Redmond,90,US,1565987403,63,47.67,-122.12,70.0,8.05
135,3137469,Sorland,75,NO,1565987622,87,67.67,12.69,53.6,10.29
136,2027042,Batagay-Alyta,21,RU,1565987622,82,67.8,130.41,45.27,2.06
137,5866063,Kenai,1,US,1565987622,52,60.55,-151.26,75.0,16.11
138,3355672,Luderitz,0,NA,1565987623,56,-26.65,15.16,68.0,9.04
139,4031742,Egvekinot,38,RU,1565987623,69,66.32,-179.17,45.27,7.49
140,3028580,Carmaux,0,FR,1565987623,68,44.05,2.16,69.01,2.24
141,3466165,Cidreira,56,BR,1565987624,66,-30.17,-50.22,61.65,6.96
142,3186145,Bejar,0,AL,1565987624,73,40.49,19.83,69.57,4.07
143,3662155,Sena Madureira,99,BR,1565987624,23,-9.07,-68.66,94.77,1.83
144,3470821,Barra,1,BR,1565987624,39,-11.09,-43.14,81.27,7.05
145,3421193,Paamiut,3,GL,1565987625,84,61.99,-49.67,42.75,10.76
146,3147822,Gravdal,75,NO,1565987625,82,59.79,5.78,59.0,18.34
147,2139521,Noumea,0,NC,1565987625,81,-22.28,166.46,66.0,2.24
148,3421765,Nanortalik,99,GL,1565987625,93,60.14,-45.24,37.53,2.37
149,3386213,Touros,20,BR,1565987626,78,-5.2,-35.46,78.8,13.87
